run,backbone,balancing,img_size,epochs_run,params_M,val_accuracy,val_macro_f1,val_qwk,minutes,notes
E4_final,resnet50v2,sqrt,224,19,24.1,0.7378511769172361,0.4186743149855565,0.5417990973956959,73.5,final model
E2_resnet50v2,resnet50v2,sqrt,224,8,24.1,0.7384206529992406,0.4193156477843349,0.5362820708874743,31.9,backbone comparison
E2_densenet121,densenet121,sqrt,224,8,7.3,0.7570235383447228,0.4075209124384239,0.5298795319508425,34.4,backbone comparison
E2_efficientnetb0,efficientnetb0,sqrt,224,8,4.4,0.7321564160971906,0.4143944477556524,0.5255300958931863,34.5,backbone comparison
E3_resnet50v2_lr0.0001_do0.5,resnet50v2,sqrt,224,6,24.1,0.7443052391799544,0.4067415730285286,0.5154173943382881,24.3,hparam sweep
E3_resnet50v2_lr0.0003_do0.3,resnet50v2,sqrt,224,6,24.1,0.7420273348519362,0.41978000758854117,0.512987666646442,24.5,hparam sweep
E1_effb0_sqrt,efficientnetb0,sqrt,224,7,4.4,0.7395596051632498,0.3993383938166926,0.5118323448348561,30.9,imbalance ablation
E3_resnet50v2_lr3e-05_do0.3,resnet50v2,sqrt,224,6,24.1,0.7355732725892179,0.3999897593919405,0.4987662435938145,24.4,hparam sweep
E1_effb0_none,efficientnetb0,none,224,7,4.4,0.7555049354593774,0.374180243417605,0.4449016646522783,33.0,imbalance ablation
E1_effb0_class_weights,efficientnetb0,class_weights,224,7,4.4,0.4386864085041762,0.2895881097206213,0.36671741177377315,32.6,imbalance ablation
E0_baseline_cnn,baseline_cnn,class_weights,224,8,0.4,0.18887623386484434,0.17028110122194712,0.22164825365581708,30.4,"from scratch, no pretrained weights"
